epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,140.807,0.57545,0.70519,0.6449,0.90171,0.93451,0.86377,0.88682,0.75226,0.9461,0.87282,0.90005,0.73634,0.55959,0.66045,0.59912,0.8854,0.000803031,0.000803031,0.000803031
30,145.167,0.58555,0.71786,0.63282,0.89913,0.97885,0.84451,0.89149,0.74143,0.98723,0.85426,0.90262,0.7254,0.56709,0.70489,0.60645,0.88996,0.000792032,0.000792032,0.000792032
31,149.964,0.56221,0.6973,0.61025,0.90316,0.96446,0.84737,0.89212,0.74083,0.95006,0.83498,0.88809,0.68803,0.56838,0.67939,0.57469,0.896,0.000781033,0.000781033,0.000781033
32,154.902,0.54586,0.67397,0.59378,0.89854,0.96632,0.85118,0.89118,0.74404,0.96082,0.84638,0.89666,0.71792,0.55055,0.71331,0.5619,0.89035,0.000770034,0.000770034,0.000770034
33,159.01,0.56046,0.67702,0.60696,0.89704,0.96033,0.8277,0.88572,0.75158,0.97406,0.83961,0.90107,0.71092,0.55887,0.69998,0.57213,0.88818,0.000759035,0.000759035,0.000759035
34,163.963,0.57072,0.73808,0.60593,0.89672,0.93345,0.84338,0.88641,0.75691,0.93053,0.85846,0.89868,0.71766,0.55858,0.70917,0.59089,0.87976,0.000748036,0.000748036,0.000748036
35,168.735,0.56226,0.67826,0.60327,0.88611,0.95333,0.85635,0.89365,0.76248,0.95004,0.8547,0.89932,0.71926,0.53908,0.66039,0.55808,0.87322,0.000737037,0.000737037,0.000737037
36,172.74,0.5732,0.6682,0.58739,0.91161,0.93329,0.83115,0.88326,0.75978,0.94399,0.83989,0.89928,0.71443,0.55003,0.74127,0.53216,0.87166,0.000726038,0.000726038,0.000726038
37,177.412,0.56468,0.68655,0.57909,0.89824,0.93954,0.84548,0.8853,0.7705,0.92427,0.81808,0.86561,0.69355,0.52543,0.7153,0.51923,0.86338,0.00071504,0.00071504,0.00071504
38,182.141,0.52513,0.65512,0.56347,0.8851,0.94418,0.84552,0.88809,0.76002,0.96126,0.8527,0.89983,0.71174,0.52161,0.74423,0.53008,0.85743,0.000704041,0.000704041,0.000704041
39,186.562,0.53307,0.68357,0.56265,0.88706,0.94428,0.84443,0.89409,0.76861,0.95547,0.85489,0.90575,0.73367,0.51523,0.6683,0.53207,0.86208,0.000693042,0.000693042,0.000693042
40,190.708,0.51444,0.63246,0.55228,0.88815,0.95321,0.84765,0.8929,0.76883,0.94135,0.8414,0.89226,0.70668,0.53108,0.6648,0.53837,0.8651,0.000682043,0.000682043,0.000682043
41,195.973,0.52325,0.6342,0.56246,0.88204,0.97028,0.83851,0.89382,0.76563,0.98455,0.8208,0.89097,0.71241,0.54715,0.68565,0.54163,0.87842,0.000671044,0.000671044,0.000671044
42,200.592,0.54129,0.66332,0.56569,0.88638,0.96926,0.84302,0.89452,0.75673,0.97358,0.84786,0.90545,0.71204,0.54327,0.70406,0.52919,0.87951,0.000660045,0.000660045,0.000660045
43,204.58,0.51947,0.61264,0.54606,0.88464,0.94249,0.8551,0.89503,0.75141,0.94854,0.85975,0.90582,0.7114,0.51445,0.68103,0.52468,0.87607,0.000649046,0.000649046,0.000649046
44,209.907,0.51443,0.64949,0.54934,0.89461,0.94331,0.84381,0.89733,0.75981,0.93917,0.85196,0.89697,0.71384,0.52937,0.67598,0.52725,0.88073,0.000638047,0.000638047,0.000638047
45,214.152,0.51394,0.64295,0.53602,0.8733,0.9479,0.8521,0.89988,0.77624,0.95,0.85517,0.89903,0.71305,0.51545,0.71645,0.5128,0.87847,0.000627048,0.000627048,0.000627048
46,218.3,0.51628,0.6291,0.54085,0.88449,0.97354,0.86088,0.9049,0.77317,0.97939,0.8649,0.91205,0.72784,0.5154,0.68153,0.49801,0.86362,0.000616049,0.000616049,0.000616049
47,223.647,0.52766,0.64299,0.5413,0.88743,0.94826,0.86885,0.90365,0.76917,0.9491,0.869,0.90742,0.70591,0.5079,0.69588,0.4984,0.85358,0.000605051,0.000605051,0.000605051
48,227.887,0.50117,0.61953,0.53456,0.87515,0.93006,0.87784,0.90366,0.77134,0.93362,0.85634,0.89321,0.70379,0.48407,0.69969,0.48627,0.85288,0.000594052,0.000594052,0.000594052
49,232.164,0.47871,0.60331,0.51617,0.87885,0.9436,0.88402,0.90555,0.77945,0.92772,0.8785,0.90065,0.71147,0.49486,0.67369,0.48911,0.85707,0.000583053,0.000583053,0.000583053
50,237.697,0.49381,0.61726,0.52676,0.87507,0.94462,0.89145,0.90618,0.77256,0.94787,0.89464,0.91532,0.72653,0.49765,0.71059,0.48604,0.86123,0.000572054,0.000572054,0.000572054
51,241.906,0.50578,0.64926,0.5136,0.87128,0.94438,0.89113,0.90607,0.77644,0.90303,0.85867,0.87122,0.69077,0.48317,0.64628,0.4768,0.85954,0.000561055,0.000561055,0.000561055
52,245.954,0.50162,0.64409,0.51713,0.86814,0.95003,0.86725,0.90251,0.77944,0.90043,0.86038,0.88313,0.71548,0.4672,0.61829,0.4751,0.85296,0.000550056,0.000550056,0.000550056
53,250.656,0.47333,0.57564,0.4982,0.86225,0.94416,0.86446,0.90382,0.78843,0.93096,0.86858,0.90055,0.73713,0.4633,0.59907,0.45382,0.85279,0.000539057,0.000539057,0.000539057
54,255.626,0.48367,0.59558,0.50323,0.86922,0.96098,0.85912,0.90513,0.79192,0.9673,0.85405,0.9033,0.73859,0.48733,0.60578,0.46915,0.86165,0.000528058,0.000528058,0.000528058
55,259.745,0.47827,0.6002,0.49439,0.86762,0.97373,0.86227,0.91029,0.78943,0.98701,0.82378,0.89146,0.72284,0.49567,0.6204,0.47176,0.86259,0.000517059,0.000517059,0.000517059
56,265.194,0.48644,0.5894,0.49569,0.86877,0.93559,0.87489,0.9072,0.77983,0.99127,0.82926,0.89363,0.71446,0.48037,0.61961,0.44881,0.86402,0.00050606,0.00050606,0.00050606
57,269.673,0.48681,0.59805,0.50155,0.86891,0.95051,0.87502,0.90661,0.7909,0.95163,0.87685,0.90519,0.74651,0.46467,0.60995,0.43675,0.84769,0.000495062,0.000495062,0.000495062
