epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,87.4232,0.6085,0.81391,0.72053,0.91322,0.84915,0.722,0.81371,0.66868,0.853,0.71058,0.81291,0.64881,0.69458,1.21311,1.00647,0.89177,0.000495062,0.000495062,0.000495062
30,90.6222,0.58195,0.85288,0.69653,0.90296,0.85716,0.74481,0.82562,0.67711,0.85494,0.74253,0.82062,0.65385,0.66016,1.13985,0.91971,0.88025,0.000473064,0.000473064,0.000473064
31,94.4657,0.59194,0.809,0.71365,0.90648,0.87634,0.76671,0.83775,0.68452,0.872,0.76488,0.83066,0.65624,0.64411,1.13159,0.83621,0.87507,0.000451066,0.000451066,0.000451066
32,97.4295,0.55806,0.77708,0.67471,0.89326,0.90605,0.77374,0.85055,0.70147,0.90278,0.76988,0.83929,0.6628,0.62259,1.12237,0.77902,0.87204,0.000429068,0.000429068,0.000429068
33,100.034,0.57761,0.826,0.67062,0.89605,0.89132,0.76121,0.84526,0.69723,0.88869,0.76268,0.83573,0.66206,0.61506,1.10142,0.7626,0.87605,0.00040707,0.00040707,0.00040707
34,102.444,0.55734,0.75725,0.66488,0.8976,0.88618,0.7626,0.84628,0.69608,0.88883,0.76574,0.84152,0.66065,0.61136,1.1042,0.75883,0.8752,0.000385073,0.000385073,0.000385073
35,104.893,0.55718,0.77042,0.65515,0.89665,0.93904,0.73901,0.85138,0.69558,0.94165,0.74216,0.84579,0.65906,0.60359,1.11224,0.74697,0.87076,0.000363075,0.000363075,0.000363075
36,109.184,0.55452,0.80811,0.65913,0.88779,0.90141,0.78776,0.85729,0.71644,0.90527,0.7812,0.84487,0.663,0.5791,1.08985,0.73064,0.86587,0.000341077,0.000341077,0.000341077
37,111.911,0.55583,0.76526,0.65189,0.88856,0.88465,0.79715,0.86047,0.71184,0.87936,0.78578,0.84002,0.66594,0.57266,1.08745,0.72993,0.86075,0.000319079,0.000319079,0.000319079
38,114.554,0.55534,0.79793,0.66353,0.90376,0.92721,0.76549,0.8613,0.70753,0.92393,0.7617,0.85205,0.67769,0.58796,1.09196,0.7204,0.85978,0.000297081,0.000297081,0.000297081
39,117.025,0.53331,0.74887,0.6305,0.87573,0.92254,0.78334,0.86254,0.70749,0.9147,0.7768,0.84278,0.68116,0.58876,1.09307,0.70332,0.85935,0.000275084,0.000275084,0.000275084
40,119.722,0.51485,0.75766,0.62262,0.8809,0.93364,0.78419,0.86545,0.71393,0.92838,0.77964,0.85118,0.67744,0.56005,1.05738,0.66355,0.85368,0.000253086,0.000253086,0.000253086
41,126.557,0.55673,0.76981,0.80098,0.89112,0.91381,0.7956,0.86752,0.71978,0.90861,0.79105,0.85645,0.68875,0.55457,1.0417,0.66745,0.85163,0.000231088,0.000231088,0.000231088
42,129.632,0.54998,0.85574,0.7684,0.86745,0.91466,0.79431,0.86601,0.71861,0.9094,0.78976,0.85414,0.69103,0.55132,1.03994,0.68854,0.85033,0.00020909,0.00020909,0.00020909
43,131.546,0.49994,0.71732,0.70094,0.87873,0.9201,0.78491,0.86333,0.71886,0.91424,0.78138,0.85153,0.68969,0.5582,1.03845,0.7177,0.85349,0.000187092,0.000187092,0.000187092
44,133.736,0.53999,0.72787,0.71876,0.88415,0.92304,0.77961,0.85202,0.71936,0.92158,0.78803,0.84192,0.68752,0.57265,1.04203,0.7917,0.86009,0.000165095,0.000165095,0.000165095
45,136.519,0.52569,0.7518,0.7018,0.89085,0.92224,0.78911,0.85074,0.71269,0.92577,0.79163,0.84293,0.6857,0.57599,1.05575,0.80404,0.85905,0.000143097,0.000143097,0.000143097
46,139.493,0.49479,0.70155,0.68846,0.87376,0.93908,0.78365,0.84887,0.71504,0.94349,0.78601,0.84688,0.68892,0.57693,1.05184,0.78244,0.85762,0.000121099,0.000121099,0.000121099
47,141.405,0.48485,0.74629,0.67216,0.86405,0.95898,0.78888,0.86005,0.71807,0.95416,0.78411,0.84665,0.68855,0.56923,1.05102,0.74814,0.8516,9.91012e-05,9.91012e-05,9.91012e-05
48,143.458,0.47936,0.65183,0.6589,0.88227,0.94618,0.78579,0.8611,0.71948,0.94322,0.78264,0.84824,0.69204,0.55964,1.03658,0.68149,0.84619,7.71034e-05,7.71034e-05,7.71034e-05
49,145.434,0.46679,0.67228,0.63418,0.86476,0.93167,0.79821,0.86234,0.72195,0.94363,0.78373,0.85005,0.69303,0.55632,1.02945,0.66131,0.84605,5.51056e-05,5.51056e-05,5.51056e-05
50,147.412,0.47155,0.67543,0.63236,0.86745,0.92281,0.79408,0.86189,0.72159,0.94203,0.78477,0.85011,0.69388,0.55041,1.0265,0.6451,0.84471,3.31078e-05,3.31078e-05,3.31078e-05
